,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
230,3853,20210821,38324,42449,-0.7062598006774201,-1.4999999999999964,33588,37536,-0.6939927901813462,-1.5000000000000042,677.049,721.917,-0.7064379603447649,-1.5000000000000002,374.938,399.785,-0.7064365413582631,-1.5
231,4656,20210822,35401,42372,0.1945420133357075,-1.5,31548,37253,0.33214432795367627,-1.4999999999999982,640.554,721.172,0.11525264205099328,-1.5000000000000009,354.727,399.372,0.11521841666775332,-1.499999999999998
232,3983,20210823,35401,42163,0.1640616174892024,-1.5000000000000002,31548,37507,0.36369229456833885,-1.500000000000001,640.554,722.834,0.1372110652400261,-1.5000000000000004,354.727,400.293,0.13719197627360505,-1.5000000000000007
233,3951,20210824,35401,42163,-0.7029099025470955,-1.4999999999999984,31548,37902,-0.6973256580158572,-1.4999999999999973,640.554,736.267,-0.6540259010589575,-1.5000000000000075,354.727,407.732,-0.6540270215557686,-1.4999999999999998
234,4487,20210825,41885,42436,-0.011113278059012861,-1.4999999999999998,37507,38485,0.23019867855736223,-1.4999999999999944,722.834,736.267,-0.6678266733130033,-1.5000000000000002,400.293,407.732,-0.6677659163468712,-1.5
235,4788,20210826,41885,42459,-0.7031238902059594,-1.5,37902,38485,0.668832079506456,-1.4999999999999747,733.022,736.267,0.007925726981740511,-1.5000000000000013,405.935,407.732,0.008859863175652898,-1.4999999999999982
236,5328,20210827,42436,42580,0.6374378989715987,-1.499999999999902,37792,38485,0.5130574610421162,-1.5,733.022,734.745,-0.6965815445720167,-1.500000000000268,405.935,406.889,-0.6963900994835176,-1.5000000000002427
237,4682,20210828,39634,42580,-0.702918107747459,-1.500000000000005,34306,37972,-0.7010764552585254,-1.5,691.879,734.745,-0.7030984666869909,-1.4999999999999944,383.15,406.889,-0.7031000903294118,-1.4999999999999807
238,3749,20210829,37014,42580,0.07158301352470318,-1.5,32332,37792,0.32377660241821316,-1.5,657.236,734.745,0.12904489942615835,-1.5,363.966,406.889,0.12908011726607999,-1.5000000000000007
239,4829,20210830,37014,40993,-0.36530965418900396,-1.500000000000002,32332,37244,0.23479638685418494,-1.5000000000000016,657.236,726.119,-0.007165220143033743,-1.4999999999999998,363.966,402.112,-0.007127555546738487,-1.5000000000000002
240,3849,20210831,37014,42179,-0.5573284521443828,-1.5000000000000004,32332,37350,-0.706019550457757,-1.5000000000000002,657.236,735.979,-0.6653170522917539,-1.5000000000000029,363.966,407.572,-0.6653207924702494,-1.4999999999999973
241,4267,20210901,40993,42179,0.0020653334620364377,-1.5,37244,37736,0.5761494605437941,-1.5000000000000266,401.541,735.979,-0.7049719297878876,-1.5000000000000007,353.199,407.572,-0.6807443509237933,-1.4999999999999982
242,3969,20210902,41585,42179,-0.6082602737369956,-1.5000000000000226,37350,37800,-0.6525252105409952,-1.5000000000000318,401.541,735.979,0.7070170940111717,-1.500000000000001,353.199,407.572,0.7044119512973239,-1.4999999999999978
243,5140,20210903,41585,42067,-0.0050818754568168496,-1.4999999999999996,37736,37858,-0.0601444164718335,-1.5,397.361,403.585,-0.3915349788742413,-1.4999999999999891,349.522,354.997,-0.3915435029906173,-1.4999999999999871
244,4562,20210904,38206,42067,-0.6973274373216827,-1.5,33066,37858,-0.7067529589010865,-1.499999999999997,363.485,403.585,-0.6415145987004855,-1.5000000000000007,319.725,354.997,-0.6415054359752957,-1.4999999999999905
245,3883,20210905,36102,41827,0.3110164218957512,-1.4999999999999991,31540,37858,0.5405126651031771,-1.499999999999998,346.326,397.361,0.376041105116791,-1.5000000000000013,304.631,349.522,0.3760082167548342,-1.5000000000000036
